,댓글인덱스,추가일시,전체인덱스,채널명,채널인덱스,댓글내용,좋아요
9351,9352,13 13:30:54,6072,심즈 아무나 AMUNA,44,이젠 그냥 리코더 유튜버로 전향하신건가요,1
9352,9353,13 13:30:55,6073,심즈 아무나 AMUNA,45,영상 쪽으로 진로를 잡으실 생각은 없으신가요,1
9355,9356,13 13:30:55,6075,심즈 아무나 AMUNA,47,연예인말고 심무나님에 취향을 담은 여심남심들을 만드신 적도 있으신가요,1
9356,9357,13 13:30:55,6075,심즈 아무나 AMUNA,47,있으시다면 공개해주실 생각은 있으신지,1
9357,9358,13 13:30:55,6076,심즈 아무나 AMUNA,48,만들고자하는 인물의 특징을 바로 잡아내시고 그 특징을 그대로 심에 표현하시는 걸 보면 관찰력과 손재주 둘다 엄청 좋으신 것 같은데 그림도 잘 그리시는지 매우 궁금하네요,1
9358,9359,13 13:30:55,6077,심즈 아무나 AMUNA,49, 어떻게 그렇게 많은 아이돌 정보를 알고계신 건지 궁금해요,1
9359,9360,13 13:30:55,6077,심즈 아무나 AMUNA,49,관계자이신 건가요,1
9360,9361,13 13:30:55,6077,심즈 아무나 AMUNA,49,아님 그냥 k팝 고인물이신 건가요,1
9361,9362,13 13:30:55,6077,심즈 아무나 AMUNA,49, 제일 리코더불기 어려웠던 곡은,1
9362,9363,13 13:30:55,6077,심즈 아무나 AMUNA,49, 나중에 멜로디언 유튜버도 노릴 생각이신가요,1
9366,9367,13 13:30:55,6080,심즈 아무나 AMUNA,52,심무나님 영상은 계속 끝까지 보게되는데 채널을 통해 수익은 얼마나 나오고 있는지 궁금합니다 ,1
9368,9369,13 13:30:56,6082,심즈 아무나 AMUNA,54,심즈로 연예인 얼굴을 뚝딱 하시듯이 종이와 펜으로도 인물화를 뚝딱 뚝딱 잘 그리시나염 심무 ,1
9369,9370,13 13:30:56,6083,심즈 아무나 AMUNA,55,축하드려요,1
9370,9371,13 13:30:56,6084,심즈 아무나 AMUNA,56,심무나님 어렸을때는 리코더를 아주 잘하셨다고 했는데 지금 실력과 비교하면 어떤가요,0
9373,9374,13 13:30:56,6086,심즈 아무나 AMUNA,58,보면 자동거북목 될 거 같은데 혹시 따로 거북목 운동 하시나요,0
9375,9376,13 13:30:56,6087,심즈 아무나 AMUNA,59,심무나님심즈계의 재재님인데 어떻게 그렇게 잘 알고 계시는 건가요,0
9376,9377,13 13:30:56,6088,심즈 아무나 AMUNA,60,아니 일곱살 글씨 실화야 나보다 훨 잘 써,1
9377,9378,13 13:30:56,6089,심즈 아무나 AMUNA,61,현재 글씨체 궁금합니다,0
9378,9379,13 13:30:56,6090,심즈 아무나 AMUNA,62,여자 연예인에 비해서 남자 연예인 제작 빈도가 적으신 이유가 궁금해요,1
9379,9380,13 13:30:56,6090,심즈 아무나 AMUNA,62,심무나님도 역시 예쁜 여자가 최고십니까,1
9380,9381,13 13:30:56,6091,심즈 아무나 AMUNA,63,멜로디언버전 깡 기대해봐도 되나요,0
9383,9384,13 13:30:57,6094,심즈 아무나 AMUNA,66,심즈 재밌게 하는 방법이 있나요,0
9385,9386,13 13:30:57,6095,심즈 아무나 AMUNA,67,아이돌들 영상마다 나오는 춤들은 직접 만드시는건가요,1
9386,9387,13 13:30:57,6096,심즈 아무나 AMUNA,68,심 만들 때 닮게 만드는 심무나님만의 노하우 같은 것이 있나요,0
9387,9388,13 13:30:57,6097,심즈 아무나 AMUNA,69,일기장 밑에  작은 글씨의 기분이 좋았다는 자리가 없어서 작게 쓰신 건가요,0
9388,9389,13 13:30:57,6097,심즈 아무나 AMUNA,69,아님 동생이 쓰라고 협박했나요,0
9390,9391,13 13:30:57,6098,심즈 아무나 AMUNA,70,7살 글씨봐라,0
9392,9393,13 13:30:57,6099,심즈 아무나 AMUNA,71,아름다운 cc템 추천해주세요 ,0
9393,9394,13 13:30:57,6100,심즈 아무나 AMUNA,72,리코더 무슨 색 인가요,0
9394,9395,13 13:30:57,6100,심즈 아무나 AMUNA,72,불 때 침은 많이 안 흐르나요,0
9402,9403,13 13:30:58,6104,심즈 아무나 AMUNA,76,아이돌 말고 다른 관심사가 있으신지 궁금해요,1
9403,9404,13 13:30:58,6105,심즈 아무나 AMUNA,77,영상에서 사용하신 리코터는 초등학생 때부터 쓰던 건가요,0
9404,9405,13 13:30:58,6105,심즈 아무나 AMUNA,77,아니면 영상을 위해 새로 구입하셨나요,0
9405,9406,13 13:30:58,6106,심즈 아무나 AMUNA,78,단소 불어주시술 있나요,0
9406,9407,13 13:30:58,6107,심즈 아무나 AMUNA,79,개인적으로 정말정말 궁금했던 것인데 혹시 리코더 전문가이신가요,0
9407,9408,13 13:30:58,6107,심즈 아무나 AMUNA,79,학원을 다니시고 계신가요,0
9409,9410,13 13:30:58,6108,심즈 아무나 AMUNA,80,어떻게 cc템을 잘 찾을 수 잇나요,0
9410,9411,13 13:30:58,6109,심즈 아무나 AMUNA,81,우와 무슨 7살이 글씨를 저렇게 잘 쓰죠,0
9411,9412,13 13:30:58,6110,심즈 아무나 AMUNA,82,멜론으로 깡 들은 횟수가 궁금해요,1
9413,9414,13 13:30:58,6111,심즈 아무나 AMUNA,83,리코더 경력이 어떻게 되시나요,0
9415,9416,13 13:30:58,6112,심즈 아무나 AMUNA,84,심즈로 친구라던가 가족 만드신 적 있으신가요,0
9416,9417,13 13:30:58,6112,심즈 아무나 AMUNA,84,만일 있으시다면 친구분들이랑 가족분들의 반응이 궁금해요,0
9417,9418,13 13:30:58,6113,심즈 아무나 AMUNA,85,심즈 말고 또 즐겨하는 게임이 있다면 무엇인가요,0
9419,9420,13 13:30:59,6115,심즈 아무나 AMUNA,87,엔시티 21명 다하실 의향이 있으신가요,0
9421,9422,13 13:30:59,6117,심즈 아무나 AMUNA,89,인생에서 가장 허무했을때가 언젠가욤,1
9422,9423,13 13:30:59,6118,심즈 아무나 AMUNA,90,저희집에 에어컨리모컨이 사라졌는데 혹시 어딨는지 알고있으시나요,0
9423,9424,13 13:30:59,6119,심즈 아무나 AMUNA,91,좋아하는음식 싫어하는음식 궁금해요,0
9424,9425,13 13:30:59,6120,심즈 아무나 AMUNA,92,유튜버를 직업으로 하시는건가요,1
9425,9426,13 13:30:59,6120,심즈 아무나 AMUNA,92,아니면 미래의 희망진로 있으신가요,1
9427,9428,13 13:30:59,6122,심즈 아무나 AMUNA,94,지선우 심 언제 나오나요,0
9428,9429,13 13:30:59,6122,심즈 아무나 AMUNA,94,        짐살라빔     ,0
9429,9430,13 13:31:00,6123,심즈 아무나 AMUNA,95,저도 심즈유저라 컴퓨터 사양이 궁금해요,0
9430,9431,13 13:31:00,6123,심즈 아무나 AMUNA,95,그리고 cc템은 새로 나오는 것마다 다 받는 편이신지,0
9431,9432,13 13:31:00,6123,심즈 아무나 AMUNA,95,심즈 씨씨템 폴더 관리 방법과 씨씨템 중 최애 씨씨템도 궁금해요,0
9435,9436,13 13:31:00,6126,심즈 아무나 AMUNA,98,심무나님에게 철학과란,0
9436,9437,13 13:31:00,6127,심즈 아무나 AMUNA,99,가장 좋아하는 아이돌이 있나요,0
9437,9438,13 13:31:00,6127,심즈 아무나 AMUNA,99,있다면 누군가요,0
9438,9439,13 13:31:00,6128,심즈 아무나 AMUNA,100,7살때 멜로디언을 쓰던 기억을 되살려 리코더말고 멜로디언으로 브금연주를 하실 생각 없으신가요,0
9439,9440,13 13:31:00,6129,심즈 아무나 AMUNA,101,리코더 계정 파실 생각있으신가요,0
9444,9445,13 13:31:00,6131,심즈 아무나 AMUNA,103,알토리코더도 불어주시나요,0
9445,9446,13 13:31:00,6132,심즈 아무나 AMUNA,104,트월킹을 언제부터 왜 사랑하게 된 건가요,0
9446,9447,13 13:31:00,6133,심즈 아무나 AMUNA,105,7살때 글씨체 왤케 반듯해여역시 심무나님,0
9447,9448,13 13:31:01,6134,심즈 아무나 AMUNA,106,지금 쓰고 계시는 리코더는 몇 살때부터 함께 해왔나요,0
9448,9449,13 13:31:01,6135,심즈 아무나 AMUNA,107,심무나님에게 리코더란,0
9449,9450,13 13:31:01,6136,심즈 아무나 AMUNA,108,혹시 연예인 심 만들어달라고 제보하면 해주시나욤,0
9450,9451,13 13:31:01,6137,심즈 아무나 AMUNA,109,심즈말고 오래 재밌게 했던 게임이 있으신가요,0
9451,9452,13 13:31:01,6138,심즈 아무나 AMUNA,110,리코더의 매력은 무엇이라고 생각하세요,0
9452,9453,13 13:31:01,6138,심즈 아무나 AMUNA,110,그리고 다른 악기도 점령하실 의향 있으신가요,0
9453,9454,13 13:31:01,6139,심즈 아무나 AMUNA,111,혹시 심즈 플레이 멏 시간 하셨어요,0
9454,9455,13 13:31:01,6140,심즈 아무나 AMUNA,112,심즈아무나님이 만들 심즈아이돌의 선택 기준은 뭔가요,0
9455,9456,13 13:31:01,6141,심즈 아무나 AMUNA,113,리코더악보를 다운받아서 연주하시나요 ,0
9456,9457,13 13:31:01,6141,심즈 아무나 AMUNA,113,리코더는 보통 얼마나 연습하시나요 ,0
9457,9458,13 13:31:01,6142,심즈 아무나 AMUNA,114,초등학생때 리코더 평가 만점 받으셨나요,0
9458,9459,13 13:31:01,6143,심즈 아무나 AMUNA,115,양치할 때 침을 많이 튀기시나요,0
9459,9460,13 13:31:01,6143,심즈 아무나 AMUNA,115,아니면 리코더 불 때 침을 더 많이 튀기시나요,0
9460,9461,13 13:31:02,6144,심즈 아무나 AMUNA,116,혹시 장래에 캐릭터 모델러가 되실생각은 없으신가요,0
9461,9462,13 13:31:02,6145,심즈 아무나 AMUNA,117,엠비티아이 어떻게 되세여,0
9462,9463,13 13:31:02,6146,심즈 아무나 AMUNA,118,리코더 코로 불러주실 생각 있으세요,0
9463,9464,13 13:31:02,6147,심즈 아무나 AMUNA,119,리코더 실력이 나날이 발전하고 있다고 생각하시나요,0
9464,9465,13 13:31:02,6148,심즈 아무나 AMUNA,120,심무나님 칼이 맛있으면 뭔지아세요,0
9467,9468,13 13:31:02,6150,심즈 아무나 AMUNA,122,그래서 다음엔 멜로디혼 연주인가요,0
9468,9469,13 13:31:02,6151,심즈 아무나 AMUNA,123,심즈 모드 파일 정리 방법이 궁금해요,0
9469,9470,13 13:31:02,6152,심즈 아무나 AMUNA,124,심즈아무나님께 심즈란 어떤존재인가요,0
9470,9471,13 13:31:03,6153,심즈 아무나 AMUNA,125,그래서 멜로디언은 결국 잘 불게 되셨나요,0
9471,9472,13 13:31:03,6154,심즈 아무나 AMUNA,126,리코더 컨텐츠 만드실 생각 잇나요,0
9472,9473,13 13:31:03,6155,심즈 아무나 AMUNA,127,사람 얼굴 잘 그리시나여 한번 그려주세요,1
9473,9474,13 13:31:03,6156,심즈 아무나 AMUNA,128,리코더 다음은 멜로디온인가요,0
9474,9475,13 13:31:03,6157,심즈 아무나 AMUNA,129,방탄소년단 심도 만들어주실 계획이 있으신가요,0
9475,9476,13 13:31:03,6158,심즈 아무나 AMUNA,130,심무나님에게 리코더란,0
9480,9481,13 13:31:03,6162,심즈 아무나 AMUNA,134,심무나님 혹시 KK랑 싸우신적이라도 있으신가요,0
9481,9482,13 13:31:04,6163,심즈 아무나 AMUNA,135,철학공부 어떻게 해야하나요,0
9482,9483,13 13:31:04,6164,심즈 아무나 AMUNA,136,오늘 야식은 뭘 먹으면 좋을까요,0
9483,9484,13 13:31:04,6165,심즈 아무나 AMUNA,137,리코더는 어디 리코더 쓰시나요,0
9485,9486,13 13:31:04,6166,심즈 아무나 AMUNA,138,오카리나나 단소 생각은 없으신가요 ,0
9486,9487,13 13:31:04,6167,심즈 아무나 AMUNA,139,리코더는 독학이신가요,0
9487,9488,13 13:31:04,6168,심즈 아무나 AMUNA,140,모드 어디서 다운받으시나요,0
9488,9489,13 13:31:04,6169,심즈 아무나 AMUNA,141,심즈셔누는 잘 지내고 있나요,0
9489,9490,13 13:31:04,6170,심즈 아무나 AMUNA,142,왜 저 일기를 함께 올리셨나요,0
9490,9491,13 13:31:04,6171,심즈 아무나 AMUNA,143,어떻게 하면 심무나님의 유머 감각을 닮을 수 있나요,0
9491,9492,13 13:31:04,6172,심즈 아무나 AMUNA,144,저 아세요,0
9492,9493,13 13:31:05,6173,심즈 아무나 AMUNA,145,혹시 조물주 인가요,0
9493,9494,13 13:31:05,6174,심즈 아무나 AMUNA,146,구독자 애칭이 뭔지 궁금합니당용,0
9495,9496,13 13:31:05,6176,심즈 아무나 AMUNA,148,심즈하실때 어떤 모드를 서용하시나요,0
9496,9497,13 13:31:05,6177,심즈 아무나 AMUNA,149,엔시티 태용님이 심즈 반응보는 영상이 있었는데 갑자기 사라진 이유가 뭔가용,0
9497,9498,13 13:31:05,6178,심즈 아무나 AMUNA,150,유치원 일기요,0
9498,9499,13 13:31:05,6178,심즈 아무나 AMUNA,150,유치원 어릴 때부터 다이아몬드 손이셨군요,0
9499,9500,13 13:31:05,6179,심즈 아무나 AMUNA,151,리코더로 제일 자신있는 음악은,0
9500,9501,13 13:31:05,6180,심즈 아무나 AMUNA,152,이건멜로디언 예고 인가,0
9503,9504,13 13:31:06,6182,심즈 아무나 AMUNA,154, 그림도 잘그리시나요,0
9504,9505,13 13:31:06,6182,심즈 아무나 AMUNA,154,이목구비 파악하는거랑 막음 얼굴 진짜 똑같이 만드시던데 미술쪽으로 일하시나요,0
9505,9506,13 13:31:06,6182,심즈 아무나 AMUNA,154,대학 다니시나요,0
9507,9508,13 13:31:06,6182,심즈 아무나 AMUNA,154,나이 궁금해요,0
9508,9509,13 13:31:06,6182,심즈 아무나 AMUNA,154,말하신적 있나,0
9515,9516,13 13:31:06,6184,심즈 아무나 AMUNA,156,전공이 디자인 쪽이신가요,1
9516,9517,13 13:31:06,6185,심즈 아무나 AMUNA,157,심무나님은 3D랑만 연애하시는건가요,0
9517,9518,13 13:31:06,6186,심즈 아무나 AMUNA,158,대체적으로 어디서 cc템을 받아오나요,0
9518,9519,13 13:31:06,6186,심즈 아무나 AMUNA,158,연예인심들을 만든 뒤에 플레이를 어떻게 하시나요 ,0
9520,9521,13 13:31:06,6188,심즈 아무나 AMUNA,160,엔씨리맴버들 만들고계신가요,0
9521,9522,13 13:31:06,6189,심즈 아무나 AMUNA,161,청하 심은 언제나오나요 ,1
9522,9523,13 13:31:06,6190,심즈 아무나 AMUNA,162,삼즈로 심 만드시는 영상은 업로드 하실 생각은 없나요,0
9524,9525,13 13:31:06,6191,심즈 아무나 AMUNA,163,혹시 인간 창조주 신가요,0
9525,9526,13 13:31:07,6192,심즈 아무나 AMUNA,164,리코더 악보는 어디서 가져오세요,1
9526,9527,13 13:31:07,6192,심즈 아무나 AMUNA,164,리코더 연습은 얼마나 하시나요,1
9530,9531,13 13:31:07,6192,심즈 아무나 AMUNA,164,금손이 되기까지의 과정이 궁금해요,1
9531,9532,13 13:31:07,6192,심즈 아무나 AMUNA,164,1일 몇깡하세요,1
9532,9533,13 13:31:07,6192,심즈 아무나 AMUNA,164,깡 전체화면으로 보신적 있으신가요,1
9534,9535,13 13:31:07,6192,심즈 아무나 AMUNA,164,아무나라는 이름은 왜 그렇게 지은건가요,1
9535,9536,13 13:31:07,6192,심즈 아무나 AMUNA,164,혹시 생일이 언제신가요,1
9536,9537,13 13:31:07,6192,심즈 아무나 AMUNA,164,계좌번호 뒷자리는 무엇인가요,1
9539,9540,13 13:31:07,6192,심즈 아무나 AMUNA,164,심즈관련 지출은,1
9540,9541,13 13:31:07,6192,심즈 아무나 AMUNA,164,유튜브를 하면서 수익제외하고 얻은것이 궁금해요,1
9541,9542,13 13:31:07,6192,심즈 아무나 AMUNA,164,얼공이나 셀프심즈 만들기는 100만 되셔야 하시나요,1
9542,9543,13 13:31:07,6192,심즈 아무나 AMUNA,164,투머치질문편집시간은 얼마나 걸리시나요,1
9543,9544,13 13:31:07,6192,심즈 아무나 AMUNA,164,심즈직접 제작한 스킨소품 제작과정이 궁금해요,1
9544,9545,13 13:31:07,6192,심즈 아무나 AMUNA,164,본업이 유튜브신가요,1
9545,9546,13 13:31:07,6192,심즈 아무나 AMUNA,164,또다른 부업본업이 있으시다면 어떤일을 하시나요,1
9546,9547,13 13:31:07,6192,심즈 아무나 AMUNA,164,스무개 채워보고 싶은데 좋아하는 색이 뭔가요,1
9547,9548,13 13:31:07,6192,심즈 아무나 AMUNA,164,나비보벳따우와 나비효과는 무슨 마음으로 올리셨나요,1
9548,9549,13 13:31:07,6192,심즈 아무나 AMUNA,164,여태까지 받으신 심즈신청목록이 있나요,1
9549,9550,13 13:31:07,6192,심즈 아무나 AMUNA,164,궁금하네요,1
9551,9552,13 13:31:07,6192,심즈 아무나 AMUNA,164,질문 100개 준비해올게요,1
9552,9553,13 13:31:07,6193,심즈 아무나 AMUNA,165,리코더 콘서트는 언제 어디서 하실건가요,3
9553,9554,13 13:31:07,6193,심즈 아무나 AMUNA,165,심을 만들때 제일 오래걸렸던 심은 누구인가요,3
9554,9555,13 13:31:07,6193,심즈 아무나 AMUNA,165,추가 슈화심 수진심 키스 갈겨주시면 안될까요,3
9561,9562,13 13:33:37,6196,산적TV밥굽남,2,궁금한게턱형은 이런사람한테도 사기를 칠수있을까,412
9563,9564,13 13:33:37,6198,산적TV밥굽남,4,솔직히 음식이 정말 맛없었던 적이있었다,147
9594,9595,13 13:33:41,6213,산적TV밥굽남,19,육즈비뜻이 모에용,5
9602,9603,13 13:33:41,6216,산적TV밥굽남,22,가장 좋아하는 음식 베스트 5  알려주세요,4
9605,9606,13 13:33:42,6218,산적TV밥굽남,24,크하핫  하루 사이에 머리숱 엄청 많아지셨네예    털모자 완전 딱 어울리십니다,4
9608,9609,13 13:33:42,6220,산적TV밥굽남,26,PD님 눈치 못채게 물 마시는척 하면서 술 먹은적 있다,3
9611,9612,13 13:33:42,6222,산적TV밥굽남,28,언제부터 도적의 꿈을 키우셨는지 궁금합니다,3
9613,9614,13 13:33:42,6223,산적TV밥굽남,29,굽남이형 햄버거최대 몇개드실수있는지 궁금해요 ,3
9617,9618,13 13:33:43,6227,산적TV밥굽남,33,하 그 머리띠 어디서 구매하셨는지 알수있을까여 제가 분홍색을 갖고있었는데 잃어버려서 아무리찾아도 한국에선 안팔던데 정말 궁금합니다,2
9620,9621,13 13:33:43,6229,산적TV밥굽남,35,굽남님은 사랑과 성공 중에 무엇을 택하실건가요,2
9621,9622,13 13:33:43,6229,산적TV밥굽남,35,이유는 요,2
9622,9623,13 13:33:43,6230,산적TV밥굽남,36,30만 다시 한번 축축축러사아 모자 샤프카 같네극한 월동장비 챙기는 중이신가,2
9628,9629,13 13:33:44,6235,산적TV밥굽남,41,요 셀카 몇분동안 몇장이나 찍고 건지신거예요,2
9629,9630,13 13:33:44,6235,산적TV밥굽남,41,헤헷 30만 넘모 축하드려요 40만 50만 100만 갑시드앙  ,2
9630,9631,13 13:33:44,6236,산적TV밥굽남,42,30만 축하드려용 앞으로 더더욱 구독자 늘고대박나시길 바래용 굽남님팟팅,1
9631,9632,13 13:33:44,6237,산적TV밥굽남,43,해적이랑 싸우면 이깅자신있나요,1
9632,9633,13 13:33:44,6238,산적TV밥굽남,44,2019년에 여진족이 왜 있나요,1
9648,9649,13 13:33:46,6246,산적TV밥굽남,52,언제봐도 신선한 먹방 좋아요,1
9654,9655,13 13:33:47,6250,산적TV밥굽남,56,평소에는 밥을 몇 인분 드세요,1
9655,9656,13 13:33:47,6251,산적TV밥굽남,57,만약에 유투버가 잘되면 제일먼저 하고싶은일은뭔가요,1
9663,9664,13 13:33:48,6256,산적TV밥굽남,62,메텔잡아서 구워먹고 하이바뺏었지,1
9672,9673,13 13:33:49,6261,산적TV밥굽남,67,몇명 담궜는가,1
9673,9674,13 13:33:50,6262,산적TV밥굽남,68,30만 축하 드려요유투브를 시작한 계기  유투버로써 처음과 현재의 장단점마지막으로 초심잃지 마세요,1
9678,9679,13 13:33:50,6265,산적TV밥굽남,71,형님 구독자 이벤트 지금 29번남았나요 ,1
9679,9680,13 13:33:50,6266,산적TV밥굽남,72,엄청 커보이는데 키와 몸무게 궁금해요,1
9689,9690,13 13:33:51,6274,산적TV밥굽남,80,난가끔 요리를 하다가 귀찮아서 시켜먹는걸 찍고싶을때도 있다,1
9691,9692,13 13:33:52,6275,산적TV밥굽남,81,모자는 추워서 쓰신겁니까,1
9692,9693,13 13:33:52,6275,산적TV밥굽남,81,이만큼이 다 모발이기를 바라시는로망이십니까,1
9700,9701,13 13:33:53,6277,산적TV밥굽남,83,육즈비들 에게 하고싶은 말은 무엇인가요,1
9701,9702,13 13:33:53,6278,산적TV밥굽남,84,언제부터 산적생활을 하신건지 궁금합니다,1
9706,9707,13 13:33:53,6281,산적TV밥굽남,87,굽남님은 세상에서 가장 무서운것이 있나요,1
9720,9721,13 13:33:55,6291,산적TV밥굽남,97,행님 언제나 골수팬 그대로 있겠습니다,1
9726,9727,13 13:33:55,6294,산적TV밥굽남,100,저런 순수하고 상냥한 얼굴로 어떻게 음식을 그리 터프하게드시는지화이팅입니다,1
9732,9733,13 13:33:56,6298,산적TV밥굽남,104,기분좋은표정인거 맞죠,1
9740,9741,13 13:33:57,6305,산적TV밥굽남,111,형님 이번은 어느 음식을 약탈하실겁니까요,1
9743,9744,13 13:33:57,6307,산적TV밥굽남,113,곰잡다 오셨나요,1
9746,9747,13 13:33:58,6310,산적TV밥굽남,116,밀항 가세요,1
9760,9761,13 13:33:59,6321,산적TV밥굽남,127,형처럼 잘생기려면 어떻게 해야되요,1
9767,9768,13 13:34:00,6326,산적TV밥굽남,132,항상 끝에는라면인디 제발라면은 먹지말기 아무음식이나 라면은 죽이는데 육식에 라면은 아닌거 갓네유 차라리 라면먹방해유 ,0
9775,9776,13 13:34:00,6331,산적TV밥굽남,137,형님 모자는 수염으로 만든 건가요,0
9779,9780,13 13:34:01,6334,산적TV밥굽남,140,형님 베란다에서 찍었네요,0
9784,9785,13 13:34:01,6336,산적TV밥굽남,142,개인적으로 궁금한데 정육점에서 일하신분이세요,0
9792,9793,13 13:34:02,6341,산적TV밥굽남,147,행님 게스트 초대방송없습니까,0
9809,9810,13 13:34:04,6353,산적TV밥굽남,159,근데이짜나요,0
9815,9816,13 13:34:05,6357,산적TV밥굽남,163,축하드립니드아,0
9818,9819,13 13:34:05,6360,산적TV밥굽남,166,은근 잘생기셨는데 진짜 남자다 라는 느낌들어 아냐 걍잘생겼넹,0
9832,9833,13 13:34:06,6369,산적TV밥굽남,175,대박나세요 ,0
9833,9834,13 13:34:06,6370,산적TV밥굽남,176,대박나세요,0
9834,9835,13 13:34:06,6371,산적TV밥굽남,177,행님 밤에 라이트 키고 방송하시면 벌레들은 어떻게 하세여 ,0
9839,9840,13 13:34:07,6375,산적TV밥굽남,181,다른 비제이들처럼  30만 이벤트 없나,0
9853,9854,13 13:34:09,6385,산적TV밥굽남,191,원래 뭐하시던 분이였는지 조심하게 죄송스럽게 송구스럽게 여쭤봐도 되겠습니까 라고 여쭤봐도 되겠습니까,0
9855,9856,13 13:34:09,6387,산적TV밥굽남,193,산적이 아니라 저 북쪽에 계신 불곰국 형님 한국 오신거 아닌가요,0
9856,9857,13 13:34:09,6388,산적TV밥굽남,194,형님 솔직히 소주드시는데 진짜 안들어가는 날이 있으셨나요,0
9858,9859,13 13:34:09,6390,산적TV밥굽남,196,나시에 털모자,0
9859,9860,13 13:34:09,6390,산적TV밥굽남,196,기후가 어떤겁니까,0
9898,9899,13 13:34:15,6415,산적TV밥굽남,221,어째 나랑 똑같이 생겻지,0
9924,9925,13 13:34:17,6428,산적TV밥굽남,234,턱주가리 새끼랑 덕자님 개인적으로 어떻게 생각하시는지 묻고 싶었는데,0
9939,9940,13 13:34:18,6438,산적TV밥굽남,244,사람 몇명 묻어보셨나요,0
9945,9946,13 13:34:19,6443,산적TV밥굽남,249,아랫입술과턱사이의 털이 쬐금아쉽다는전체적인 털자리랑 털결은나름 멋짐,0
9948,9949,13 13:34:19,6445,산적TV밥굽남,251,털모자 이쁘다다닷 유투버처음할때 이후로 얼굴에 손댄적 있나요,0
9955,9956,13 13:34:20,6449,산적TV밥굽남,255,다음에는 이베리코 스페인 고기가 뜨는추세였는데 이베리코 스페인고기도 방송해주실수있나요,0
9957,9958,13 13:34:21,6450,산적TV밥굽남,256,청나라가 또 처들어왔나요,0
9959,9960,13 13:34:21,6451,산적TV밥굽남,257,Q콧수염 갯수 몇개인가요,0
9967,9968,13 13:34:22,6456,산적TV밥굽남,262,굽남님  모자 장난이죠,0
9972,9973,13 13:34:23,6459,산적TV밥굽남,265,굽남이는 언제부터 그렇게 멋있었나,0
9984,9985,13 13:34:24,6465,산적TV밥굽남,271,체첸공화국에서 오셨나요,0
9986,9987,13 13:34:24,6466,산적TV밥굽남,272,근데 다이어트를 하신건가요,0
9991,9992,13 13:34:25,6470,산적TV밥굽남,276,맨날 고기묵는데유산균도 드셔,0
9992,9993,13 13:34:25,6471,산적TV밥굽남,277,원래 실제로 평소에도 저만큼씩 드시나요,0
9993,9994,13 13:34:25,6471,산적TV밥굽남,277,먹방말고 실제로는 평소에 얼마나 드시고 식비가 얼마나 나오시는지 궁금해요 ,0
10008,10009,13 13:34:26,6481,산적TV밥굽남,287,그리구 그 소주잔을사고싶은데어디서사야할까요,0
10019,10020,13 13:34:28,6489,산적TV밥굽남,295, 요리방송도 하고 요즘 너무 재밌게보고 있는 영상입니다,0
10034,10035,13 13:34:30,6499,산적TV밥굽남,305,내가 한 음식중 제일 맛났던 거 하고제일 맛 없던거 하나씩 궁금해욬,0
10039,10040,13 13:34:31,6504,산적TV밥굽남,310,주량이 궁금합니다,0
10059,10060,13 13:34:33,6518,산적TV밥굽남,324,채식은못하시나요,0
10060,10061,13 13:34:33,6519,산적TV밥굽남,325,행님 이제는 돈 좀 되십니껴 저는 행님께서 부자되셨음 좋겠습니다,0
10061,10062,13 13:34:33,6519,산적TV밥굽남,325,진심 그리고 잡솨 행님은 메추리 윽수로 맛있게 드시든데 잡솨행님이 꾸바주시믄 메추리 다시 드실 생각 있으싱교,0
10062,10063,13 13:34:33,6520,산적TV밥굽남,326,임꺽정형님 산채에 부하들은 몇이나 데리고 계시는지요,0
10068,10069,13 13:34:34,6526,산적TV밥굽남,332,형님 꼬꼬마 유튜버 견학신청 받으십니까,0
10074,10075,13 13:34:34,6529,산적TV밥굽남,335,형님 뭐 러시아 이민가시나요,0
10075,10076,13 13:34:34,6530,산적TV밥굽남,336,마더러시아,0
10083,10084,13 13:34:35,6535,산적TV밥굽남,341,본 직업이 무엇인가요,0
10093,10094,13 13:34:36,6540,산적TV밥굽남,346,형님 칼을 잘 다루시던데 어떤 조직에서 일하셨는지좀 알려주십쇼,0
10110,10111,13 13:34:38,6550,산적TV밥굽남,356,성이 이런 분 앞에선 한마디도 못하겠지,0
10111,10112,13 13:34:38,6551,산적TV밥굽남,357,입 찢어진적 있으신가요,0
10116,10117,13 13:34:38,6554,산적TV밥굽남,360,매일 매일 술을 드시는데  숙취는없으신가요,0
10117,10118,13 13:34:38,6555,산적TV밥굽남,361,형님 왜 하필 산골에서 사시는지,0
10119,10120,13 13:34:39,6557,산적TV밥굽남,363,굽남이 행님은 몇살때부터 그렇게 멋졌나,0
10129,10130,13 13:34:40,6564,산적TV밥굽남,370,구독자 이름을 육즈비로 지은 이유가 있나요,0
10131,10132,13 13:34:40,6566,산적TV밥굽남,372,중국당면큰젓가락 빨래도 가능하신가요,0
10135,10136,13 13:34:41,6569,산적TV밥굽남,375,잘 어울려요질문은 저는 오래봐온지라 궁금한게 많이 해결되어서 새로 방송보기 시작하신 신즈비님들을 위해 패스해용,0
10138,10139,13 13:34:41,6571,산적TV밥굽남,377,추첨 이벤트 어때요,0
10139,10140,13 13:34:41,6572,산적TV밥굽남,378,방어진 물개 라는소문이 진짠가요,0
